"Hospital number","5161","",""
"Epi Curve","76","2020-06-05 00:00:00",""
"Epi Curve","55","2020-06-04 00:00:00",""
"Epi Curve","76","2020-06-03 00:00:00",""
"Epi Curve","79","2020-06-02 00:00:00",""
"Epi Curve","73","2020-06-01 00:00:00",""
"Epi Curve","49","2020-05-31 00:00:00",""
"Epi Curve","55","2020-05-30 00:00:00",""
"Epi Curve","59","2020-05-29 00:00:00",""
"Epi Curve","54","2020-05-28 00:00:00",""
"Epi Curve","52","2020-05-27 00:00:00",""
"Epi Curve","48","2020-05-26 00:00:00",""
"Epi Curve","51","2020-05-25 00:00:00",""
"Epi Curve","42","2020-05-24 00:00:00",""
"Epi Curve","40","2020-05-23 00:00:00",""
"Epi Curve","58","2020-05-22 00:00:00",""
"Epi Curve","49","2020-05-21 00:00:00",""
"Epi Curve","39","2020-05-20 00:00:00",""
"Epi Curve","43","2020-05-19 00:00:00",""
"Epi Curve","55","2020-05-18 00:00:00",""
"Epi Curve","30","2020-05-17 00:00:00",""
"Epi Curve","37","2020-05-16 00:00:00",""
"Epi Curve","43","2020-05-15 00:00:00",""
"Epi Curve","52","2020-05-14 00:00:00",""
"Epi Curve","40","2020-05-13 00:00:00",""
"Epi Curve","44","2020-05-12 00:00:00",""
"Epi Curve","41","2020-05-11 00:00:00",""
"Epi Curve","35","2020-05-10 00:00:00",""
"Epi Curve","36","2020-05-09 00:00:00",""
"Epi Curve","57","2020-05-08 00:00:00",""
"Epi Curve","48","2020-05-07 00:00:00",""
"Epi Curve","52","2020-05-06 00:00:00",""
"Epi Curve","57","2020-05-05 00:00:00",""
"Epi Curve","46","2020-05-04 00:00:00",""
"Epi Curve","56","2020-05-03 00:00:00",""
"Epi Curve","46","2020-05-02 00:00:00",""
"Epi Curve","49","2020-05-01 00:00:00",""
"Epi Curve","53","2020-04-30 00:00:00",""
"Epi Curve","60","2020-04-29 00:00:00",""
"Epi Curve","52","2020-04-28 00:00:00",""
"Epi Curve","57","2020-04-27 00:00:00",""
"Epi Curve","44","2020-04-26 00:00:00",""
"Epi Curve","46","2020-04-25 00:00:00",""
"Epi Curve","54","2020-04-24 00:00:00",""
"Epi Curve","44","2020-04-23 00:00:00",""
"Epi Curve","44","2020-04-22 00:00:00",""
"Epi Curve","30","2020-04-21 00:00:00",""
"Epi Curve","67","2020-04-20 00:00:00",""
"Epi Curve","47","2020-04-19 00:00:00",""
"Epi Curve","52","2020-04-18 00:00:00",""
"Epi Curve","31","2020-04-17 00:00:00",""
"Epi Curve","45","2020-04-16 00:00:00",""
"Epi Curve","43","2020-04-15 00:00:00",""
"Epi Curve","50","2020-04-14 00:00:00",""
"Epi Curve","48","2020-04-13 00:00:00",""
"Epi Curve","37","2020-04-12 00:00:00",""
"Epi Curve","42","2020-04-11 00:00:00",""
"Epi Curve","45","2020-04-10 00:00:00",""
"Epi Curve","44","2020-04-09 00:00:00",""
"Epi Curve","53","2020-04-08 00:00:00",""
"Epi Curve","34","2020-04-07 00:00:00",""
"Epi Curve","59","2020-04-06 00:00:00",""
"Epi Curve","49","2020-04-05 00:00:00",""
"Epi Curve","44","2020-04-04 00:00:00",""
"Epi Curve","51","2020-04-03 00:00:00",""
"Epi Curve","34","2020-04-02 00:00:00",""
"Epi Curve","48","2020-04-01 00:00:00",""
"Epi Curve","56","2020-03-31 00:00:00",""
"Epi Curve","51","2020-03-30 00:00:00",""
"Epi Curve","41","2020-03-29 00:00:00",""
"Epi Curve","43","2020-03-28 00:00:00",""
"Epi Curve","40","2020-03-27 00:00:00",""
"Epi Curve","39","2020-03-26 00:00:00",""
"Epi Curve","45","2020-03-25 00:00:00",""
"Epi Curve","30","2020-03-24 00:00:00",""
"Epi Curve","44","2020-03-23 00:00:00",""
"Epi Curve","17","2020-03-22 00:00:00",""
"Epi Curve","20","2020-03-21 00:00:00",""
"Epi Curve","22","2020-03-20 00:00:00",""
"Epi Curve","18","2020-03-19 00:00:00",""
"Epi Curve","12","2020-03-18 00:00:00",""
"Epi Curve","13","2020-03-17 00:00:00",""
"Epi Curve","6","2020-03-16 00:00:00",""
"Epi Curve","10","2020-03-15 00:00:00",""
"Epi Curve","4","2020-03-14 00:00:00",""
"Epi Curve","6","2020-03-13 00:00:00",""
"Epi Curve","5","2020-03-12 00:00:00",""
"Epi Curve","3","2020-03-11 00:00:00",""
"Epi Curve","2","2020-03-09 00:00:00",""
"Epi Curve","1","2020-03-06 00:00:00",""
"Epi Curve","1","2020-03-05 00:00:00",""
"Epi Curve","1","2020-03-04 00:00:00",""
"Epi Curve","1","2020-03-03 00:00:00",""
"Epi Curve","1","2020-02-28 00:00:00",""
"Epi Curve","1","2020-02-21 00:00:00",""
"Map","Yuma","393",""
"Map","Yavapai","40",""
"Map","Santa Cruz","102",""
"Map","Pinal","203",""
"Map","Pima","726",""
"Map","Navajo","228",""
"Map","Mohave","154",""
"Map","Maricopa","2809",""
"Map","La Paz","14",""
"Map","Greenlee","",""
"Map","Graham","13",""
"Map","Gila","37",""
"Map","Coconino","273",""
"Map","Cochise","75",""
"Map","Apache","94",""
"Missing","0.614921143043563","60317",""
