"2.1.2 Positive Cases Chg 7 Day","cases","2020-08-22","2020-03-21","222","43.5","true","","","","","","","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-08","2020-04-21","","1352","1352","1352","2020-04-08","2020-04-21","","1352","1352","1352","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-09","2020-04-22","","1163","1163","1163","2020-04-09","2020-04-22","","1163","1163","1163","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-10","2020-04-23","","1143","1143","1143","2020-04-10","2020-04-23","","1143","1143","1143","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-11","2020-04-24","","1179","1179","1179","2020-04-11","2020-04-24","","1179","1179","1179","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-12","2020-04-25","","554","554","554","2020-04-12","2020-04-25","","554","554","554","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-13","2020-04-26","","990","990","990","2020-04-13","2020-04-26","","990","990","990","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-14","2020-04-27","","1086","1086","1086","2020-04-14","2020-04-27","","1086","1086","1086","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-15","2020-04-28","","1758","1758","1758","2020-04-15","2020-04-28","","1758","1758","1758","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-16","2020-04-29","","1346","1346","1346","2020-04-16","2020-04-29","","1346","1346","1346","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-17","2020-04-30","","1435","1435","1435","2020-04-17","2020-04-30","","1435","1435","1435","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-18","2020-05-01","","1370","1370","1370","2020-04-18","2020-05-01","","1370","1370","1370","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-19","2020-05-02","","645","645","645","2020-04-19","2020-05-02","","645","645","645","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-20","2020-05-03","","2283","2283","2283","2020-04-20","2020-05-03","","2283","2283","2283","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-21","2020-05-04","","2135","2135","2135","2020-04-21","2020-05-04","","2135","2135","2135","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-22","2020-05-05","","1973","1973","1973","2020-04-22","2020-05-05","","1973","1973","1973","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-23","2020-05-06","","1885","1885","1885","2020-04-23","2020-05-06","","1885","1885","1885","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-24","2020-05-07","","1883","1883","1883","2020-04-24","2020-05-07","","1883","1883","1883","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-25","2020-05-08","","1027","1027","1027","2020-04-25","2020-05-08","","1027","1027","1027","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-26","2020-05-09","","1300","1300","1300","2020-04-26","2020-05-09","","1300","1300","1300","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-27","2020-05-10","","1567","1567","1567","2020-04-27","2020-05-10","","1567","1567","1567","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-28","2020-05-11","","1469","1469","1469","2020-04-28","2020-05-11","","1469","1469","1469","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-29","2020-05-12","","2417","2417","2417","2020-04-29","2020-05-12","","2417","2417","2417","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-30","2020-05-13","","1525","1525","1525","2020-04-30","2020-05-13","","1525","1525","1525","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-01","2020-05-14","","1755","1755","1755","2020-05-01","2020-05-14","","1755","1755","1755","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-02","2020-05-15","","1419","1419","1419","2020-05-02","2020-05-15","","1419","1419","1419","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-03","2020-05-16","","1321","1321","1321","2020-05-03","2020-05-16","","1321","1321","1321","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-04","2020-05-17","","1275","1275","1275","2020-05-04","2020-05-17","","1275","1275","1275","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-05","2020-05-18","","2603","2603","2603","2020-05-05","2020-05-18","","2603","2603","2603","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-06","2020-05-19","","1799","1799","1799","2020-05-06","2020-05-19","","1799","1799","1799","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-07","2020-05-20","","1898","1898","1898","2020-05-07","2020-05-20","","1898","1898","1898","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-08","2020-05-21","","2049","2049","2049","2020-05-08","2020-05-21","","2049","2049","2049","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-09","2020-05-22","","2119","2119","2119","2020-05-09","2020-05-22","","2119","2119","2119","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-10","2020-05-23","","1259","1259","1259","2020-05-10","2020-05-23","","1259","1259","1259","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-11","2020-05-24","","1443","1443","1443","2020-05-11","2020-05-24","","1443","1443","1443","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-12","2020-05-25","","1759","1759","1759","2020-05-12","2020-05-25","","1759","1759","1759","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-13","2020-05-26","","2023","2023","2023","2020-05-13","2020-05-26","","2023","2023","2023","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-14","2020-05-27","","1772","1772","1772","2020-05-14","2020-05-27","","1772","1772","1772","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-15","2020-05-28","","1857","1857","1857","2020-05-15","2020-05-28","","1857","1857","1857","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-16","2020-05-29","","2046","2046","2046","2020-05-16","2020-05-29","","2046","2046","2046","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-17","2020-05-30","","1591","1591","1591","2020-05-17","2020-05-30","","1591","1591","1591","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-18","2020-05-31","","1365","1365","1365","2020-05-18","2020-05-31","","1365","1365","1365","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-19","2020-06-01","","2262","2262","2262","2020-05-19","2020-06-01","","2262","2262","2262","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-20","2020-06-02","","2140","2140","2140","2020-05-20","2020-06-02","","2140","2140","2140","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-21","2020-06-03","","2247","2247","2247","2020-05-21","2020-06-03","","2247","2247","2247","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-22","2020-06-04","","2187","2187","2187","2020-05-22","2020-06-04","","2187","2187","2187","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-23","2020-06-05","","2079","2079","2079","2020-05-23","2020-06-05","","2079","2079","2079","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-24","2020-06-06","","1848","1848","1848","2020-05-24","2020-06-06","","1848","1848","1848","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-25","2020-06-07","","2175","2175","2175","2020-05-25","2020-06-07","","2175","2175","2175","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-26","2020-06-08","","2247","2247","2247","2020-05-26","2020-06-08","","2247","2247","2247","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-27","2020-06-09","","2717","2717","2717","2020-05-27","2020-06-09","","2717","2717","2717","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-28","2020-06-10","","2189","2189","2189","2020-05-28","2020-06-10","","2189","2189","2189","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-29","2020-06-11","","2992","2992","2992","2020-05-29","2020-06-11","","2992","2992","2992","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-30","2020-06-12","","3705","3705","3705","2020-05-30","2020-06-12","","3705","3705","3705","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-31","2020-06-13","","2423","2423","2423","2020-05-31","2020-06-13","","2423","2423","2423","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-01","2020-06-14","","2304","2304","2304","2020-06-01","2020-06-14","","2304","2304","2304","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-02","2020-06-15","","2377","2377","2377","2020-06-02","2020-06-15","","2377","2377","2377","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-03","2020-06-16","","2120","2120","2120","2020-06-03","2020-06-16","","2120","2120","2120","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-04","2020-06-17","","3094","3094","3094","2020-06-04","2020-06-17","","3094","3094","3094","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-05","2020-06-18","","3115","3115","3115","2020-06-05","2020-06-18","","3115","3115","3115","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-06","2020-06-19","","2796","2796","2796","2020-06-06","2020-06-19","","2796","2796","2796","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-07","2020-06-20","","2507","2507","2507","2020-06-07","2020-06-20","","2507","2507","2507","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-08","2020-06-21","","2170","2170","2170","2020-06-08","2020-06-21","","2170","2170","2170","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-09","2020-06-22","","2702","2702","2702","2020-06-09","2020-06-22","","2702","2702","2702","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-10","2020-06-23","","3090","3090","3090","2020-06-10","2020-06-23","","3090","3090","3090","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-11","2020-06-24","","2702","2702","2702","2020-06-11","2020-06-24","","2702","2702","2702","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-12","2020-06-25","","3660","3660","3660","2020-06-12","2020-06-25","","3660","3660","3660","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-13","2020-06-26","","3212","3212","3212","2020-06-13","2020-06-26","","3212","3212","3212","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-14","2020-06-27","","2597","2597","2597","2020-06-14","2020-06-27","","2597","2597","2597","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-15","2020-06-28","","2108","2108","2108","2020-06-15","2020-06-28","","2108","2108","2108","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-16","2020-06-29","","3455","3455","3455","2020-06-16","2020-06-29","","3455","3455","3455","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-17","2020-06-30","","4084","4084","4084","2020-06-17","2020-06-30","","4084","4084","4084","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-18","2020-07-01","","4317","4317","4317","2020-06-18","2020-07-01","","4317","4317","4317","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-19","2020-07-02","","3893","3893","3893","2020-06-19","2020-07-02","","3893","3893","3893","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-20","2020-07-03","","4515","4515","4515","2020-06-20","2020-07-03","","4515","4515","4515","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-21","2020-07-04","","4230","4230","4230","2020-06-21","2020-07-04","","4230","4230","4230","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-22","2020-07-05","","5019","5019","5019","2020-06-22","2020-07-05","","5019","5019","5019","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-23","2020-07-06","","7149","7149","7149","2020-06-23","2020-07-06","","7149","7149","7149","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-24","2020-07-07","","5349","5349","5349","2020-06-24","2020-07-07","","5349","5349","5349","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-25","2020-07-08","","5269","5269","5269","2020-06-25","2020-07-08","","5269","5269","5269","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-26","2020-07-09","","6209","6209","6209","2020-06-26","2020-07-09","","6209","6209","6209","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-27","2020-07-10","","5120","5120","5120","2020-06-27","2020-07-10","","5120","5120","5120","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-28","2020-07-11","","7083","7083","7083","2020-06-28","2020-07-11","","7083","7083","7083","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-29","2020-07-12","","9480","9480","9480","2020-06-29","2020-07-12","","9480","9480","9480","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-30","2020-07-13","","7407","7407","7407","2020-06-30","2020-07-13","","7407","7407","7407","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-01","2020-07-14","","6408","6408","6408","2020-07-01","2020-07-14","","6408","6408","6408","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-02","2020-07-15","","5688","5688","5688","2020-07-02","2020-07-15","","5688","5688","5688","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-03","2020-07-16","","9153","9153","9153","2020-07-03","2020-07-16","","9153","9153","9153","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-04","2020-07-17","","8597","8597","8597","2020-07-04","2020-07-17","","8597","8597","8597","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-05","2020-07-18","","5699","5699","5699","2020-07-05","2020-07-18","","5699","5699","5699","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-06","2020-07-19","","6090","6090","6090","2020-07-06","2020-07-19","","6090","6090","6090","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-07","2020-07-20","","11694","11694","11694","2020-07-07","2020-07-20","","11694","11694","11694","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-08","2020-07-21","","7031","7031","7031","2020-07-08","2020-07-21","","7031","7031","7031","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-09","2020-07-22","","7798","7798","7798","2020-07-09","2020-07-22","","7798","7798","7798","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-10","2020-07-23","","8047","8047","8047","2020-07-10","2020-07-23","","8047","8047","8047","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-11","2020-07-24","","8460","8460","8460","2020-07-11","2020-07-24","","8460","8460","8460","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-12","2020-07-25","","8358","8358","8358","2020-07-12","2020-07-25","","8358","8358","8358","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-13","2020-07-26","","7346","7346","7346","2020-07-13","2020-07-26","","7346","7346","7346","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-14","2020-07-27","","11126","11126","11126","2020-07-14","2020-07-27","","11126","11126","11126","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-15","2020-07-28","","8544","8544","8544","2020-07-15","2020-07-28","","8544","8544","8544","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-16","2020-07-29","","9986","9986","9986","2020-07-16","2020-07-29","","9986","9986","9986","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-17","2020-07-30","","9199","9199","9199","2020-07-17","2020-07-30","","9199","9199","9199","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-18","2020-07-31","","9329","9329","9329","2020-07-18","2020-07-31","","9329","9329","9329","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-19","2020-08-01","","6846","6846","6846","2020-07-19","2020-08-01","","6846","6846","6846","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-20","2020-08-02","","9231","9231","9231","2020-07-20","2020-08-02","","9231","9231","9231","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-21","2020-08-03","","12807","12807","12807","2020-07-21","2020-08-03","","12807","12807","12807","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-22","2020-08-04","","12040","12040","12040","2020-07-22","2020-08-04","","12040","12040","12040","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-23","2020-08-05","","9718","9718","9718","2020-07-23","2020-08-05","","9718","9718","9718","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-24","2020-08-06","","10066","10066","10066","2020-07-24","2020-08-06","","10066","10066","10066","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-25","2020-08-07","","8259","8259","8259","2020-07-25","2020-08-07","","8259","8259","8259","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-26","2020-08-08","","6891","6891","6891","2020-07-26","2020-08-08","","6891","6891","6891","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-27","2020-08-09","","6000","6000","6000","2020-07-27","2020-08-09","","6000","6000","6000","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-28","2020-08-10","","8755","8755","8755","2020-07-28","2020-08-10","","8755","8755","8755","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-29","2020-08-11","","10197","10197","10197","2020-07-29","2020-08-11","","10197","10197","10197","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-30","2020-08-12","","8086","8086","8086","2020-07-30","2020-08-12","","8086","8086","8086","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-31","2020-08-13","","6542","6542","6542","2020-07-31","2020-08-13","","6542","6542","6542","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-01","2020-08-14","","9032","9032","9032","2020-08-01","2020-08-14","","9032","9032","9032","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-02","2020-08-15","","5739","5739","5739","2020-08-02","2020-08-15","","5739","5739","5739","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-03","2020-08-16","","4526","4526","4526","2020-08-03","2020-08-16","","4526","4526","4526","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-04","2020-08-17","","5295","5295","5295","2020-08-04","2020-08-17","","5295","5295","5295","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-05","2020-08-18","","5258","5258","5258","2020-08-05","2020-08-18","","5258","5258","5258","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-06","2020-08-19","","8436","8436","8436","2020-08-06","2020-08-19","","8436","8436","8436","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-07","2020-08-20","","7371","7371","7371","2020-08-07","2020-08-20","","7371","7371","7371","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-08","2020-08-21","","8373","8373","8373","2020-08-08","2020-08-21","","8373","8373","8373","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-09","2020-08-23","","7751","7751","7751","2020-08-09","2020-08-23","","7751","7751","7751","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-10","2020-08-29","","12500","12500","12500","2020-08-10","2020-08-29","","12500","12500","12500","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-11","","","11645","11645","11645","2020-08-11","","","11645","11645","11645","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-12","","","7085","7085","7085","2020-08-12","","","7085","7085","7085","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-13","","","7934","7934","7934","2020-08-13","","","7934","7934","7934","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-14","","","12614","12614","12614","2020-08-14","","","12614","12614","12614","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-15","","","7873","7873","7873","2020-08-15","","","7873","7873","7873","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-16","","2020-03-21","6469","6469","6469","2020-08-16","","2020-03-21","6469","6469","6469","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-17","","","4636","4636","4636","2020-08-17","","","4636","4636","4636","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-18","","","6164","6164","6164","2020-08-18","","","6164","6164","6164","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-19","","","5920","5920","5920","2020-08-19","","","5920","5920","5920","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-20","","","5585","5585","5585","2020-08-20","","","5585","5585","5585","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-21","","","6556","6556","6556","2020-08-21","","","6556","6556","6556","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-08-22","","","6777","6777","6777","2020-08-22","","","6777","6777","6777","","","","","",""
"4.1.2 Test Reported Chg 14 day (2)","2020-08-23","true","1714912","742896","0.0638569209382172","0.0566795352243113","109509","42107","","","","","","","","","",""
"County Name","CALIFORNIA","","","","","","","","","","","","","","","","",""
"Week over Week Deaths","2020-08-22","2020-03-21","true","910","931","","","","","","","","","","","","",""
"Rolling Avg Cases 7 day","cases","2020-08-22","2020-03-21","true","6015.28571428571","","","","","","","","","","","","",""
"Rolling Avg Cases 14 day","cases","2020-08-22","2020-03-21","7822.07142857143","true","","","","","","","","","","","","",""
"2.1.1 Positive Cases","cases","663669","","","","","","","","","","","","","","","",""
"US Total Deaths","174645","","","","","","","","","","","","","","","","",""
"4.1.1 Test Reported","10541031","","","","","","","","","","","","","","","","",""
"2.1.2 Deaths Chg 7 day","2020-08-22","2020-03-21","true","","","","","","","","","","","","","","",""
"2.1.3 Death Chg Line","2020-03-19","2020-04-01","","3","3","3","2020-03-19","2020-04-01","","3","3","3","","","","","",""
"2.1.3 Death Chg Line","2020-03-20","2020-04-02","","4","4","4","2020-03-20","2020-04-02","","4","4","4","","","","","",""
"2.1.3 Death Chg Line","2020-03-21","2020-04-03","","4","4","4","2020-03-21","2020-04-03","","4","4","4","","","","","",""
"2.1.3 Death Chg Line","2020-03-22","2020-04-04","","9","9","9","2020-03-22","2020-04-04","","9","9","9","","","","","",""
"2.1.3 Death Chg Line","2020-03-23","2020-04-05","","2","2","2","2020-03-23","2020-04-05","","2","2","2","","","","","",""
"2.1.3 Death Chg Line","2020-03-24","2020-04-06","","15","15","15","2020-03-24","2020-04-06","","15","15","15","","","","","",""
"2.1.3 Death Chg Line","2020-03-25","2020-04-07","","12","12","12","2020-03-25","2020-04-07","","12","12","12","","","","","",""
"2.1.3 Death Chg Line","2020-03-26","2020-04-08","","13","13","13","2020-03-26","2020-04-08","","13","13","13","","","","","",""
"2.1.3 Death Chg Line","2020-03-27","2020-04-09","","24","24","24","2020-03-27","2020-04-09","","24","24","24","","","","","",""
"2.1.3 Death Chg Line","2020-03-28","2020-04-10","","17","17","17","2020-03-28","2020-04-10","","17","17","17","","","","","",""
"2.1.3 Death Chg Line","2020-03-29","2020-04-11","","17","17","17","2020-03-29","2020-04-11","","17","17","17","","","","","",""
"2.1.3 Death Chg Line","2020-03-30","2020-04-12","","15","15","15","2020-03-30","2020-04-12","","15","15","15","","","","","",""
"2.1.3 Death Chg Line","2020-03-31","2020-04-13","","21","21","21","2020-03-31","2020-04-13","","21","21","21","","","","","",""
"2.1.3 Death Chg Line","2020-04-01","2020-04-14","","32","32","32","2020-04-01","2020-04-14","","32","32","32","","","","","",""
"2.1.3 Death Chg Line","2020-04-02","2020-04-15","","34","34","34","2020-04-02","2020-04-15","","34","34","34","","","","","",""
"2.1.3 Death Chg Line","2020-04-03","2020-04-16","","39","39","39","2020-04-03","2020-04-16","","39","39","39","","","","","",""
"2.1.3 Death Chg Line","2020-04-04","2020-04-17","","43","43","43","2020-04-04","2020-04-17","","43","43","43","","","","","",""
"2.1.3 Death Chg Line","2020-04-05","2020-04-18","","24","24","24","2020-04-05","2020-04-18","","24","24","24","","","","","",""
"2.1.3 Death Chg Line","2020-04-06","2020-04-19","","31","31","31","2020-04-06","2020-04-19","","31","31","31","","","","","",""
"2.1.3 Death Chg Line","2020-04-07","2020-04-20","","68","68","68","2020-04-07","2020-04-20","","68","68","68","","","","","",""
"2.1.3 Death Chg Line","2020-04-08","2020-04-21","","50","50","50","2020-04-08","2020-04-21","","50","50","50","","","","","",""
"2.1.3 Death Chg Line","2020-04-09","2020-04-22","","49","49","49","2020-04-09","2020-04-22","","49","49","49","","","","","",""
"2.1.3 Death Chg Line","2020-04-10","2020-04-23","","68","68","68","2020-04-10","2020-04-23","","68","68","68","","","","","",""
"2.1.3 Death Chg Line","2020-04-11","2020-04-24","","42","42","42","2020-04-11","2020-04-24","","42","42","42","","","","","",""
"2.1.3 Death Chg Line","2020-04-12","2020-04-25","","36","36","36","2020-04-12","2020-04-25","","36","36","36","","","","","",""
"2.1.3 Death Chg Line","2020-04-13","2020-04-26","","71","71","71","2020-04-13","2020-04-26","","71","71","71","","","","","",""
"2.1.3 Death Chg Line","2020-04-14","2020-04-27","","63","63","63","2020-04-14","2020-04-27","","63","63","63","","","","","",""
"2.1.3 Death Chg Line","2020-04-15","2020-04-28","","69","69","69","2020-04-15","2020-04-28","","69","69","69","","","","","",""
"2.1.3 Death Chg Line","2020-04-16","2020-04-29","","95","95","95","2020-04-16","2020-04-29","","95","95","95","","","","","",""
"2.1.3 Death Chg Line","2020-04-17","2020-04-30","","87","87","87","2020-04-17","2020-04-30","","87","87","87","","","","","",""
"2.1.3 Death Chg Line","2020-04-18","2020-05-01","","94","94","94","2020-04-18","2020-05-01","","94","94","94","","","","","",""
"2.1.3 Death Chg Line","2020-04-19","2020-05-02","","42","42","42","2020-04-19","2020-05-02","","42","42","42","","","","","",""
