"8.1.2 Demo by Cases","0-17","0-17","10","10","10","10","66204","CASE_PERCENT","0-17","0-17","10","10","22.5","742896",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","190238","190238","2020-04-11 00:00:00","2020-04-29 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","199667","199667","2020-04-12 00:00:00","2020-04-30 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","202208","202208","2020-04-13 00:00:00","2020-05-01 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","214387","214387","2020-04-14 00:00:00","2020-05-02 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","239181","239181","2020-04-15 00:00:00","2020-05-03 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","251614","251614","2020-04-16 00:00:00","2020-05-04 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","259666","259666","2020-04-17 00:00:00","2020-05-05 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","273721","273721","2020-04-18 00:00:00","2020-05-06 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","283317","283317","2020-04-19 00:00:00","2020-05-07 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","292906","292906","2020-04-20 00:00:00","2020-05-08 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","301547","301547","2020-04-21 00:00:00","2020-05-09 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","482097","482097","2020-04-22 00:00:00","2020-05-10 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","494173","494173","2020-04-23 00:00:00","2020-05-11 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","506035","506035","2020-04-24 00:00:00","2020-05-12 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","526084","526084","2020-04-25 00:00:00","2020-05-13 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","553409","553409","2020-04-26 00:00:00","2020-05-14 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","577608","577608","2020-04-27 00:00:00","2020-05-15 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","603139","603139","2020-04-28 00:00:00","2020-05-16 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","625337","625337","2020-04-29 00:00:00","2020-05-17 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","654985","654985","2020-04-30 00:00:00","2020-05-18 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","685048","685048","2020-05-01 00:00:00","2020-05-19 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","715751","715751","2020-05-02 00:00:00","2020-05-20 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","747874","747874","2020-05-03 00:00:00","2020-05-21 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","779902","779902","2020-05-04 00:00:00","2020-05-22 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","809036","809036","2020-05-05 00:00:00","2020-05-23 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","842874","842874","2020-05-06 00:00:00","2020-05-24 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","875272","875272","2020-05-07 00:00:00","2020-05-25 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","912570","912570","2020-05-08 00:00:00","2020-05-26 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","955664","955664","2020-05-09 00:00:00","2020-05-27 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","991897","991897","2020-05-10 00:00:00","2020-05-28 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1033370","1033370","2020-05-11 00:00:00","2020-05-29 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1065592","1065592","2020-05-12 00:00:00","2020-05-30 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1104651","1104651","2020-05-13 00:00:00","2020-05-31 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1133906","1133906","2020-05-14 00:00:00","2020-06-01 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1179126","1179126","2020-05-15 00:00:00","2020-06-02 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1235243","1235243","2020-05-16 00:00:00","2020-06-03 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1292672","1292672","2020-05-17 00:00:00","2020-06-04 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1339316","1339316","2020-05-18 00:00:00","2020-06-05 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1380120","1380120","2020-05-19 00:00:00","2020-06-06 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1421128","1421128","2020-05-20 00:00:00","2020-06-07 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1466773","1466773","2020-05-21 00:00:00","2020-06-08 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1515306","1515306","2020-05-22 00:00:00","2020-06-09 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1582745","1582745","2020-05-23 00:00:00","2020-06-10 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1644102","1644102","2020-05-24 00:00:00","2020-06-11 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1696396","1696396","2020-05-25 00:00:00","2020-06-12 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1736894","1736894","2020-05-26 00:00:00","2020-06-13 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1790559","1790559","2020-05-27 00:00:00","2020-06-14 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1835478","1835478","2020-05-28 00:00:00","2020-06-15 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1888595","1888595","2020-05-29 00:00:00","2020-06-16 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","1944848","1944848","2020-05-30 00:00:00","2020-06-17 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2012583","2012583","2020-05-31 00:00:00","2020-06-18 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2071591","2071591","2020-06-01 00:00:00","2020-06-19 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2131294","2131294","2020-06-02 00:00:00","2020-06-20 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2182671","2182671","2020-06-03 00:00:00","2020-06-21 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2238463","2238463","2020-06-04 00:00:00","2020-06-22 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2308300","2308300","2020-06-05 00:00:00","2020-06-23 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2362218","2362218","2020-06-06 00:00:00","2020-06-24 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2431190","2431190","2020-06-07 00:00:00","2020-06-25 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2486245","2486245","2020-06-08 00:00:00","2020-06-26 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2540798","2540798","2020-06-09 00:00:00","2020-06-27 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2597647","2597647","2020-06-10 00:00:00","2020-06-28 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2662258","2662258","2020-06-11 00:00:00","2020-06-29 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2724393","2724393","2020-06-12 00:00:00","2020-06-30 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2801996","2801996","2020-06-13 00:00:00","2020-07-01 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2868182","2868182","2020-06-14 00:00:00","2020-07-02 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2937755","2937755","2020-06-15 00:00:00","2020-07-03 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","2997988","2997988","2020-06-16 00:00:00","2020-07-04 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","3074530","3074530","2020-06-17 00:00:00","2020-07-05 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","3155702","3155702","2020-06-18 00:00:00","2020-07-06 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","3234412","3234412","2020-06-19 00:00:00","2020-07-07 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","3319256","3319256","2020-06-20 00:00:00","2020-07-08 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","3411686","3411686","2020-06-21 00:00:00","2020-07-09 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","3496929","3496929","2020-06-22 00:00:00","2020-07-10 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","3592899","3592899","2020-06-23 00:00:00","2020-07-11 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","3694345","3694345","2020-06-24 00:00:00","2020-07-12 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","3771314","3771314","2020-06-25 00:00:00","2020-07-13 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","3862310","3862310","2020-06-26 00:00:00","2020-07-14 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","3955952","3955952","2020-06-27 00:00:00","2020-07-15 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","4061692","4061692","2020-06-28 00:00:00","2020-07-16 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","4167139","4167139","2020-06-29 00:00:00","2020-07-17 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","4254176","4254176","2020-06-30 00:00:00","2020-07-18 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","4338718","4338718","2020-07-01 00:00:00","2020-07-19 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","4448176","4448176","2020-07-02 00:00:00","2020-07-20 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","4553031","4553031","2020-07-03 00:00:00","2020-07-21 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","4680138","4680138","2020-07-04 00:00:00","2020-07-22 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","4793353","4793353","2020-07-05 00:00:00","2020-07-23 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","4896370","4896370","2020-07-06 00:00:00","2020-07-24 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","4996175","4996175","2020-07-07 00:00:00","2020-07-25 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","5078434","5078434","2020-07-08 00:00:00","2020-07-26 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","5175737","5175737","2020-07-09 00:00:00","2020-07-27 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","5275695","5275695","2020-07-10 00:00:00","2020-07-28 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","5406599","5406599","2020-07-11 00:00:00","2020-07-29 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","5544365","5544365","2020-07-12 00:00:00","2020-07-30 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","5674955","5674955","2020-07-13 00:00:00","2020-07-31 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","5793276","5793276","2020-07-14 00:00:00","2020-08-01 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","5915508","5915508","2020-07-15 00:00:00","2020-08-02 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","6044099","6044099","2020-07-16 00:00:00","2020-08-03 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","6167218","6167218","2020-07-17 00:00:00","2020-08-04 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","6286852","6286852","2020-07-18 00:00:00","2020-08-05 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","6414538","6414538","2020-07-19 00:00:00","2020-08-06 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","6537511","6537511","2020-07-20 00:00:00","2020-08-07 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","6664998","6664998","2020-07-21 00:00:00","2020-08-08 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","6778304","6778304","2020-07-22 00:00:00","2020-08-09 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","6915876","6915876","2020-07-23 00:00:00","2020-08-10 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","7047355","7047355","2020-07-24 00:00:00","2020-08-11 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","7168139","7168139","2020-07-25 00:00:00","2020-08-12 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","7296578","7296578","2020-07-26 00:00:00","2020-08-13 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","7417866","7417866","2020-07-27 00:00:00","2020-08-14 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","7517466","7517466","2020-07-28 00:00:00","2020-08-15 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","7633840","7633840","2020-07-29 00:00:00","2020-08-16 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","7811041","7811041","2020-07-30 00:00:00","2020-08-17 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","7886587","7886587","2020-07-31 00:00:00","2020-08-18 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","8035975","8035975","2020-08-01 00:00:00","2020-08-19 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","8184696","8184696","2020-08-02 00:00:00","2020-08-20 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","8305713","8305713","2020-08-03 00:00:00","2020-08-21 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","8409400","8409400","2020-08-04 00:00:00","2020-08-22 00:00:00","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","8500463","8500463","2020-08-05 00:00:00","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","8596882","8596882","2020-08-06 00:00:00","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","8707527","8707527","2020-08-07 00:00:00","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","8826119","8826119","2020-08-08 00:00:00","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","8998353","8998353","2020-08-09 00:00:00","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","9186279","9186279","2020-08-10 00:00:00","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","9303467","9303467","2020-08-11 00:00:00","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","9445493","9445493","2020-08-12 00:00:00","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","9556598","9556598","2020-08-13 00:00:00","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","9681111","9681111","2020-08-14 00:00:00","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","9798135","9798135","2020-08-15 00:00:00","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","9933780","9933780","2020-08-16 00:00:00","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","10049039","10049039","2020-08-17 00:00:00","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","10140683","10140683","2020-08-18 00:00:00","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","10227966","10227966","2020-08-19 00:00:00","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","10329372","10329372","2020-08-20 00:00:00","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","10436352","10436352","2020-08-21 00:00:00","","","","","","","","","","",""
"4.1.3 Cumulative Total Tests Conducted","Tests reported to Public Health","10541031","10541031","2020-08-22 00:00:00","","","","","","","","","","",""
"8.1.2 Deaths by Age","0-17","0-17","2","","","","DEATHS_PERCENT","0-17","0-17","909","","","CA_PERCENT","",""
"8.1.2 Deaths by Age","18-49","18-49","866","7.2","7.2","7.2","DEATHS_PERCENT","18-49","18-49","1714912","7.2","7.2","CA_PERCENT","",""
"8.1.2 Deaths by Age","50-64","50-64","2204","18.5","18.5","18.5","DEATHS_PERCENT","50-64","50-64","742896","18.5","18.5","CA_PERCENT","",""
"8.1.2 Deaths by Age","65+","65+","8870","74.3","74.3","74.3","DEATHS_PERCENT","65+","65+","109509","74.3","74.3","CA_PERCENT","",""
"8.1.2 Deaths by Age","Missing","Missing","3","","","","DEATHS_PERCENT","Missing","Missing","42107","","","CA_PERCENT","",""
"US Total Cases","5598547","","","","","","","","","","","","","",""
"4.1.2 Test Reported Chg","2020-08-23","true","0.0638569209382172","13467","0.0647407789527986","","","","","","","","","",""
"US Total Deaths","174645","","","","","","","","","","","","","",""
"4.1.2 Test Reported Chg 14 day","2020-08-23","true","7.2","15554","0.0638569209382172","","","","","","","","","",""
