"2.1.3 Positive Cases Chg Line","2020-04-29","2020-07-12","","2417","2417","2417","2020-04-29","2020-07-12","","2417","2417","2417","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-04-30","2020-07-13","","1525","1525","1525","2020-04-30","2020-07-13","","1525","1525","1525","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-01","2020-07-14","","1755","1755","1755","2020-05-01","2020-07-14","","1755","1755","1755","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-02","2020-07-15","","1419","1419","1419","2020-05-02","2020-07-15","","1419","1419","1419","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-03","2020-07-16","","1321","1321","1321","2020-05-03","2020-07-16","","1321","1321","1321","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-04","2020-07-17","","1275","1275","1275","2020-05-04","2020-07-17","","1275","1275","1275","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-05","2020-07-18","","2603","2603","2603","2020-05-05","2020-07-18","","2603","2603","2603","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-06","2020-07-19","","1799","1799","1799","2020-05-06","2020-07-19","","1799","1799","1799","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-07","2020-07-20","","1898","1898","1898","2020-05-07","2020-07-20","","1898","1898","1898","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-08","2020-07-21","","2049","2049","2049","2020-05-08","2020-07-21","","2049","2049","2049","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-09","2020-07-22","","2119","2119","2119","2020-05-09","2020-07-22","","2119","2119","2119","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-10","2020-07-23","","1259","1259","1259","2020-05-10","2020-07-23","","1259","1259","1259","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-11","2020-07-24","","1443","1443","1443","2020-05-11","2020-07-24","","1443","1443","1443","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-12","2020-07-25","","1759","1759","1759","2020-05-12","2020-07-25","","1759","1759","1759","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-13","2020-07-26","","2023","2023","2023","2020-05-13","2020-07-26","","2023","2023","2023","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-14","2020-07-27","","1772","1772","1772","2020-05-14","2020-07-27","","1772","1772","1772","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-15","2020-07-28","","1857","1857","1857","2020-05-15","2020-07-28","","1857","1857","1857","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-16","2020-07-29","","2046","2046","2046","2020-05-16","2020-07-29","","2046","2046","2046","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-17","2020-07-31","","1591","1591","1591","2020-05-17","2020-07-31","","1591","1591","1591","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-18","2020-08-06","","1365","1365","1365","2020-05-18","2020-08-06","","1365","1365","1365","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-19","","","2262","2262","2262","2020-05-19","","","2262","2262","2262","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-20","","","2140","2140","2140","2020-05-20","","","2140","2140","2140","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-21","","","2247","2247","2247","2020-05-21","","","2247","2247","2247","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-22","","","2187","2187","2187","2020-05-22","","","2187","2187","2187","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-23","","","2079","2079","2079","2020-05-23","","","2079","2079","2079","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-24","","","1848","1848","1848","2020-05-24","","","1848","1848","1848","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-25","","","2175","2175","2175","2020-05-25","","","2175","2175","2175","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-26","","","2247","2247","2247","2020-05-26","","","2247","2247","2247","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-27","","","2717","2717","2717","2020-05-27","","","2717","2717","2717","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-28","","","2189","2189","2189","2020-05-28","","","2189","2189","2189","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-29","","","2992","2992","2992","2020-05-29","","","2992","2992","2992","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-30","","","3705","3705","3705","2020-05-30","","","3705","3705","3705","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-05-31","","","2423","2423","2423","2020-05-31","","","2423","2423","2423","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-01","","","2304","2304","2304","2020-06-01","","","2304","2304","2304","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-02","","","2377","2377","2377","2020-06-02","","","2377","2377","2377","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-03","","","2120","2120","2120","2020-06-03","","","2120","2120","2120","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-04","","","3094","3094","3094","2020-06-04","","","3094","3094","3094","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-05","","","3115","3115","3115","2020-06-05","","","3115","3115","3115","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-06","","","2796","2796","2796","2020-06-06","","","2796","2796","2796","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-07","","","2507","2507","2507","2020-06-07","","","2507","2507","2507","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-08","","","2170","2170","2170","2020-06-08","","","2170","2170","2170","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-09","","","2702","2702","2702","2020-06-09","","","2702","2702","2702","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-10","","","3090","3090","3090","2020-06-10","","","3090","3090","3090","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-11","","","2702","2702","2702","2020-06-11","","","2702","2702","2702","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-12","","","3660","3660","3660","2020-06-12","","","3660","3660","3660","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-13","","","3212","3212","3212","2020-06-13","","","3212","3212","3212","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-14","","","2597","2597","2597","2020-06-14","","","2597","2597","2597","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-15","","","2108","2108","2108","2020-06-15","","","2108","2108","2108","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-16","","","3455","3455","3455","2020-06-16","","","3455","3455","3455","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-17","","","4084","4084","4084","2020-06-17","","","4084","4084","4084","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-18","","","4317","4317","4317","2020-06-18","","","4317","4317","4317","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-19","","","3893","3893","3893","2020-06-19","","","3893","3893","3893","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-20","","","4515","4515","4515","2020-06-20","","","4515","4515","4515","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-21","","","4230","4230","4230","2020-06-21","","","4230","4230","4230","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-22","","","5019","5019","5019","2020-06-22","","","5019","5019","5019","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-23","","","7149","7149","7149","2020-06-23","","","7149","7149","7149","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-24","","","5349","5349","5349","2020-06-24","","","5349","5349","5349","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-25","","","5269","5269","5269","2020-06-25","","","5269","5269","5269","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-26","","","6209","6209","6209","2020-06-26","","","6209","6209","6209","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-27","","","5120","5120","5120","2020-06-27","","","5120","5120","5120","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-28","","","7083","7083","7083","2020-06-28","","","7083","7083","7083","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-29","","","9480","9480","9480","2020-06-29","","","9480","9480","9480","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-06-30","","","7407","7407","7407","2020-06-30","","","7407","7407","7407","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-01","","","6408","6408","6408","2020-07-01","","","6408","6408","6408","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-02","","","5688","5688","5688","2020-07-02","","","5688","5688","5688","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-03","","","9153","9153","9153","2020-07-03","","","9153","9153","9153","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-04","","","8597","8597","8597","2020-07-04","","","8597","8597","8597","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-05","","","5699","5699","5699","2020-07-05","","","5699","5699","5699","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-06","","","6090","6090","6090","2020-07-06","","","6090","6090","6090","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-07","","","11694","11694","11694","2020-07-07","","","11694","11694","11694","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-08","","","7031","7031","7031","2020-07-08","","","7031","7031","7031","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-09","","","7798","7798","7798","2020-07-09","","","7798","7798","7798","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-10","","","8047","8047","8047","2020-07-10","","","8047","8047","8047","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-11","","","8460","8460","8460","2020-07-11","","","8460","8460","8460","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-12","","","8358","8358","8358","2020-07-12","","","8358","8358","8358","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-13","","","7346","7346","7346","2020-07-13","","","7346","7346","7346","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-14","","","11126","11126","11126","2020-07-14","","","11126","11126","11126","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-15","","","8544","8544","8544","2020-07-15","","","8544","8544","8544","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-16","","","9986","9986","9986","2020-07-16","","","9986","9986","9986","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-17","","","9199","9199","9199","2020-07-17","","","9199","9199","9199","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-18","","","9329","9329","9329","2020-07-18","","","9329","9329","9329","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-19","","","6846","6846","6846","2020-07-19","","","6846","6846","6846","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-20","","","9231","9231","9231","2020-07-20","","","9231","9231","9231","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-21","","","12807","12807","12807","2020-07-21","","","12807","12807","12807","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-22","","","12040","12040","12040","2020-07-22","","","12040","12040","12040","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-23","","","9718","9718","9718","2020-07-23","","","9718","9718","9718","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-24","","2020-05-22","10066","10066","10066","2020-07-24","","2020-05-22","10066","10066","10066","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-25","","","8259","8259","8259","2020-07-25","","","8259","8259","8259","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-26","","","6891","6891","6891","2020-07-26","","","6891","6891","6891","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-27","","","6000","6000","6000","2020-07-27","","","6000","6000","6000","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-28","","","8755","8755","8755","2020-07-28","","","8755","8755","8755","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-29","","","10197","10197","10197","2020-07-29","","","10197","10197","10197","","","","","",""
"2.1.3 Positive Cases Chg Line","2020-07-30","","","8086","8086","8086","2020-07-30","","","8086","8086","8086","","","","","",""
"4.1.2 Test Reported Chg 14 day (2)","2020-07-31","true","1766942","895165","0.0721155533118801","0.0650762708550938","127424","58254","","","","","","","","","",""
"8.1.1 Deaths by Gender","Female","Female","3831","42.9","42.9","42.9","42.9","DEATHS_PERCENT","Female","Female","11435","42.9","42.9","CA_PERCENT","","","",""
"8.1.1 Deaths by Gender","Male","Male","5095","57","57","57","57","DEATHS_PERCENT","Male","Male","11303","57","57","CA_PERCENT","","","",""
"8.1.1 Deaths by Gender","Unknown","Unknown","13","0.1","0.1","0.1","0.1","DEATHS_PERCENT","Unknown","Unknown","9708","0.1","0.1","CA_PERCENT","","","",""
"8.1.1 Cases by Gender","Female","Female","49.9","49.9","49.9","246279","CASE_PERCENT","Female","Female","49.9","49.9","50.3","","","","","",""
"8.1.1 Cases by Gender","Male","Male","49.1","49.1","49.1","242315","CASE_PERCENT","Male","Male","49.1","49.1","49.7","","","","","",""
"8.1.1 Cases by Gender","Unknown","Unknown","1","1","1","4994","CASE_PERCENT","Unknown","Unknown","1","1","","","","","","",""
"County Name","CALIFORNIA","","","","","","","","","","","","","","","","",""
"Week over Week Deaths","2020-07-30","2020-05-22","true","819","711","","","","","","","","","","","","",""
"2.1.1 Positive Cases","cases","493588","","","","","","","","","","","","","","","",""
"Rolling Avg Cases 14 day","cases","2020-07-30","2020-05-22","9101.71428571429","true","","","","","","","","","","","","",""
"Rolling Avg Cases 7 day","cases","2020-07-30","2020-05-22","true","8322","","","","","","","","","","","","",""
"4.1.1 Test Reported","7811041","","","","","","","","","","","","","","","","",""
"2.1.2 Deaths Chg 7 day","2020-07-30","2020-05-22","true","","","","","","","","","","","","","","",""
"2.1.3 Death Chg Line","2020-03-19","2020-06-01","","3","3","3","2020-03-19","2020-06-01","","3","3","3","","","","","",""
"2.1.3 Death Chg Line","2020-03-20","2020-06-02","","4","4","4","2020-03-20","2020-06-02","","4","4","4","","","","","",""
"2.1.3 Death Chg Line","2020-03-21","2020-06-03","","4","4","4","2020-03-21","2020-06-03","","4","4","4","","","","","",""
"2.1.3 Death Chg Line","2020-03-22","2020-06-04","","9","9","9","2020-03-22","2020-06-04","","9","9","9","","","","","",""
"2.1.3 Death Chg Line","2020-03-23","2020-06-05","","2","2","2","2020-03-23","2020-06-05","","2","2","2","","","","","",""
"2.1.3 Death Chg Line","2020-03-24","2020-06-06","","15","15","15","2020-03-24","2020-06-06","","15","15","15","","","","","",""
"2.1.3 Death Chg Line","2020-03-25","2020-06-07","","12","12","12","2020-03-25","2020-06-07","","12","12","12","","","","","",""
"2.1.3 Death Chg Line","2020-03-26","2020-06-08","","13","13","13","2020-03-26","2020-06-08","","13","13","13","","","","","",""
"2.1.3 Death Chg Line","2020-03-27","2020-06-09","","24","24","24","2020-03-27","2020-06-09","","24","24","24","","","","","",""
"2.1.3 Death Chg Line","2020-03-28","2020-06-10","","17","17","17","2020-03-28","2020-06-10","","17","17","17","","","","","",""
"2.1.3 Death Chg Line","2020-03-29","2020-06-11","","17","17","17","2020-03-29","2020-06-11","","17","17","17","","","","","",""
"2.1.3 Death Chg Line","2020-03-30","2020-06-12","","15","15","15","2020-03-30","2020-06-12","","15","15","15","","","","","",""
"2.1.3 Death Chg Line","2020-03-31","2020-06-13","","21","21","21","2020-03-31","2020-06-13","","21","21","21","","","","","",""
"2.1.3 Death Chg Line","2020-04-01","2020-06-14","","32","32","32","2020-04-01","2020-06-14","","32","32","32","","","","","",""
"2.1.3 Death Chg Line","2020-04-02","2020-06-15","","34","34","34","2020-04-02","2020-06-15","","34","34","34","","","","","",""
"2.1.3 Death Chg Line","2020-04-03","2020-06-16","","39","39","39","2020-04-03","2020-06-16","","39","39","39","","","","","",""
"2.1.3 Death Chg Line","2020-04-04","2020-06-17","","43","43","43","2020-04-04","2020-06-17","","43","43","43","","","","","",""
"2.1.3 Death Chg Line","2020-04-05","2020-06-18","","24","24","24","2020-04-05","2020-06-18","","24","24","24","","","","","",""
"2.1.3 Death Chg Line","2020-04-06","2020-06-19","","31","31","31","2020-04-06","2020-06-19","","31","31","31","","","","","",""
"2.1.3 Death Chg Line","2020-04-07","2020-06-20","","68","68","68","2020-04-07","2020-06-20","","68","68","68","","","","","",""
"2.1.3 Death Chg Line","2020-04-08","2020-06-21","","50","50","50","2020-04-08","2020-06-21","","50","50","50","","","","","",""
"2.1.3 Death Chg Line","2020-04-09","2020-06-22","","49","49","49","2020-04-09","2020-06-22","","49","49","49","","","","","",""
"2.1.3 Death Chg Line","2020-04-10","2020-06-23","","68","68","68","2020-04-10","2020-06-23","","68","68","68","","","","","",""
"2.1.3 Death Chg Line","2020-04-11","2020-06-24","","42","42","42","2020-04-11","2020-06-24","","42","42","42","","","","","",""
"2.1.3 Death Chg Line","2020-04-12","2020-06-25","","36","36","36","2020-04-12","2020-06-25","","36","36","36","","","","","",""
"2.1.3 Death Chg Line","2020-04-13","2020-06-26","","71","71","71","2020-04-13","2020-06-26","","71","71","71","","","","","",""
"2.1.3 Death Chg Line","2020-04-14","2020-06-27","","63","63","63","2020-04-14","2020-06-27","","63","63","63","","","","","",""
"2.1.3 Death Chg Line","2020-04-15","2020-06-28","","69","69","69","2020-04-15","2020-06-28","","69","69","69","","","","","",""
"2.1.3 Death Chg Line","2020-04-16","2020-06-29","","95","95","95","2020-04-16","2020-06-29","","95","95","95","","","","","",""
"2.1.3 Death Chg Line","2020-04-17","2020-06-30","","87","87","87","2020-04-17","2020-06-30","","87","87","87","","","","","",""
"2.1.3 Death Chg Line","2020-04-18","2020-07-01","","94","94","94","2020-04-18","2020-07-01","","94","94","94","","","","","",""
"2.1.3 Death Chg Line","2020-04-19","2020-07-02","","42","42","42","2020-04-19","2020-07-02","","42","42","42","","","","","",""
"2.1.3 Death Chg Line","2020-04-20","2020-07-03","","60","60","60","2020-04-20","2020-07-03","","60","60","60","","","","","",""
"2.1.3 Death Chg Line","2020-04-21","2020-07-04","","86","86","86","2020-04-21","2020-07-04","","86","86","86","","","","","",""
"2.1.3 Death Chg Line","2020-04-22","2020-07-05","","115","115","115","2020-04-22","2020-07-05","","115","115","115","","","","","",""
"2.1.3 Death Chg Line","2020-04-23","2020-07-06","","93","93","93","2020-04-23","2020-07-06","","93","93","93","","","","","",""
"2.1.3 Death Chg Line","2020-04-24","2020-07-07","","89","89","89","2020-04-24","2020-07-07","","89","89","89","","","","","",""
"2.1.3 Death Chg Line","2020-04-25","2020-07-08","","59","59","59","2020-04-25","2020-07-08","","59","59","59","","","","","",""
"2.1.3 Death Chg Line","2020-04-26","2020-07-09","","45","45","45","2020-04-26","2020-07-09","","45","45","45","","","","","",""
"2.1.3 Death Chg Line","2020-04-27","2020-07-10","","54","54","54","2020-04-27","2020-07-10","","54","54","54","","","","","",""
"2.1.3 Death Chg Line","2020-04-28","2020-07-11","","78","78","78","2020-04-28","2020-07-11","","78","78","78","","","","","",""
"2.1.3 Death Chg Line","2020-04-29","2020-07-12","","95","95","95","2020-04-29","2020-07-12","","95","95","95","","","","","",""
"2.1.3 Death Chg Line","2020-04-30","2020-07-13","","91","91","91","2020-04-30","2020-07-13","","91","91","91","","","","","",""
"2.1.3 Death Chg Line","2020-05-01","2020-07-14","","98","98","98","2020-05-01","2020-07-14","","98","98","98","","","","","",""
"2.1.3 Death Chg Line","2020-05-02","2020-07-15","","44","44","44","2020-05-02","2020-07-15","","44","44","44","","","","","",""
"2.1.3 Death Chg Line","2020-05-03","2020-07-16","","39","39","39","2020-05-03","2020-07-16","","39","39","39","","","","","",""
"2.1.3 Death Chg Line","2020-05-04","2020-07-17","","63","63","63","2020-05-04","2020-07-17","","63","63","63","","","","","",""
"2.1.3 Death Chg Line","2020-05-05","2020-07-18","","95","95","95","2020-05-05","2020-07-18","","95","95","95","","","","","",""
"2.1.3 Death Chg Line","2020-05-06","2020-07-19","","92","92","92","2020-05-06","2020-07-19","","92","92","92","","","","","",""
"2.1.3 Death Chg Line","2020-05-07","2020-07-20","","81","81","81","2020-05-07","2020-07-20","","81","81","81","","","","","",""
"2.1.3 Death Chg Line","2020-05-08","2020-07-21","","93","93","93","2020-05-08","2020-07-21","","93","93","93","","","","","",""
"2.1.3 Death Chg Line","2020-05-09","2020-07-22","","67","67","67","2020-05-09","2020-07-22","","67","67","67","","","","","",""
"2.1.3 Death Chg Line","2020-05-10","2020-07-23","","25","25","25","2020-05-10","2020-07-23","","25","25","25","","","","","",""
"2.1.3 Death Chg Line","2020-05-11","2020-07-24","","77","77","77","2020-05-11","2020-07-24","","77","77","77","","","","","",""
"2.1.3 Death Chg Line","2020-05-12","2020-07-25","","87","87","87","2020-05-12","2020-07-25","","87","87","87","","","","","",""
"2.1.3 Death Chg Line","2020-05-13","2020-07-26","","98","98","98","2020-05-13","2020-07-26","","98","98","98","","","","","",""
"2.1.3 Death Chg Line","2020-05-14","2020-07-27","","76","76","76","2020-05-14","2020-07-27","","76","76","76","","","","","",""
"2.1.3 Death Chg Line","2020-05-15","2020-07-28","","96","96","96","2020-05-15","2020-07-28","","96","96","96","","","","","",""
"2.1.3 Death Chg Line","2020-05-16","2020-07-29","","57","57","57","2020-05-16","2020-07-29","","57","57","57","","","","","",""
"2.1.3 Death Chg Line","2020-05-17","2020-07-31","","41","41","41","2020-05-17","2020-07-31","","41","41","41","","","","","",""
"2.1.3 Death Chg Line","2020-05-18","2020-08-06","","32","32","32","2020-05-18","2020-08-06","","32","32","32","","","","","",""
"2.1.3 Death Chg Line","2020-05-19","","","102","102","102","2020-05-19","","","102","102","102","","","","","",""
"2.1.3 Death Chg Line","2020-05-20","","","106","106","106","2020-05-20","","","106","106","106","","","","","",""
"2.1.3 Death Chg Line","2020-05-21","","","88","88","88","2020-05-21","","","88","88","88","","","","","",""
"2.1.3 Death Chg Line","2020-05-22","","","78","78","78","2020-05-22","","","78","78","78","","","","","",""
